timestamp_utc,city,temp,humidity,description
2026-07-01T22:20:41.698208+00:00,London,20.06,60,broken clouds
2026-07-02T00:12:43.395078+00:00,Istanbul,24.08,100,broken clouds
2026-07-02T00:12:43.395078+00:00,Ankara,21.23,53,clear sky
2026-07-02T00:12:43.395078+00:00,İzmir,21.29,75,clear sky
2026-07-02T00:12:43.395078+00:00,Berlin,14.62,94,broken clouds
2026-07-02T00:12:43.395078+00:00,London,17.79,65,scattered clouds
2026-07-02T05:00:54.669012+00:00,Istanbul,24.53,89,clear sky
2026-07-02T05:00:54.669012+00:00,Ankara,21.78,53,clear sky
2026-07-02T05:00:54.669012+00:00,İzmir,21.29,62,clear sky
2026-07-02T05:00:54.669012+00:00,Berlin,15.47,93,clear sky
2026-07-02T05:00:54.669012+00:00,London,17.43,80,broken clouds
2026-07-02T09:18:52.167576+00:00,Istanbul,26.86,72,clear sky
2026-07-02T09:18:52.167576+00:00,Ankara,31.23,31,clear sky
2026-07-02T09:18:52.167576+00:00,İzmir,32.4,29,clear sky
2026-07-02T09:18:52.167576+00:00,Berlin,23.15,60,clear sky
2026-07-02T09:18:52.167576+00:00,London,21.6,67,broken clouds
2026-07-02T12:10:46.414791+00:00,Istanbul,30.75,68,clear sky
2026-07-02T12:10:46.414791+00:00,Ankara,33.45,23,clear sky
2026-07-02T12:10:46.414791+00:00,İzmir,34.62,22,clear sky
2026-07-02T12:10:46.414791+00:00,Berlin,27.01,43,clear sky
2026-07-02T12:10:46.414791+00:00,London,25.12,44,scattered clouds
2026-07-02T15:19:29.519120+00:00,Istanbul,30.38,77,scattered clouds
2026-07-02T15:19:29.519120+00:00,Ankara,32.89,22,clear sky
2026-07-02T15:19:29.519120+00:00,İzmir,32.4,28,clear sky
2026-07-02T15:19:29.519120+00:00,Berlin,27.7,40,broken clouds
2026-07-02T15:19:29.519120+00:00,London,26.33,35,clear sky
2026-07-02T17:52:55.471573+00:00,Istanbul,27.15,78,scattered clouds
2026-07-02T17:52:55.471573+00:00,Ankara,26.8,35,few clouds
2026-07-02T17:52:55.471573+00:00,İzmir,29.62,59,clear sky
2026-07-02T17:52:55.471573+00:00,Berlin,20.79,73,light rain
2026-07-02T17:52:55.471573+00:00,London,25.1,36,clear sky
2026-07-02T19:36:23.133901+00:00,Istanbul,25.2,100,few clouds
2026-07-02T19:36:23.133901+00:00,Ankara,26.78,45,broken clouds
2026-07-02T19:36:23.133901+00:00,İzmir,23.72,64,clear sky
2026-07-02T19:36:23.133901+00:00,Berlin,19.84,82,light rain
2026-07-02T19:36:23.133901+00:00,London,21.8,42,clear sky
2026-07-02T21:12:31.434469+00:00,Istanbul,24.82,100,few clouds
2026-07-02T21:12:31.434469+00:00,Ankara,26.23,47,broken clouds
2026-07-02T21:12:31.434469+00:00,İzmir,26.29,73,clear sky
2026-07-02T21:12:31.434469+00:00,Berlin,18.53,80,broken clouds
2026-07-02T21:12:31.434469+00:00,London,19.1,51,clear sky
2026-07-02T23:11:43.630807+00:00,Istanbul,24.08,100,few clouds
2026-07-02T23:11:43.630807+00:00,Ankara,24.56,51,broken clouds
2026-07-02T23:11:43.630807+00:00,İzmir,25.73,76,clear sky
2026-07-02T23:11:43.630807+00:00,Berlin,16.52,74,scattered clouds
2026-07-02T23:11:43.630807+00:00,London,16.44,58,clear sky
2026-07-03T03:38:09.766059+00:00,Istanbul,23.32,100,scattered clouds
2026-07-03T03:38:09.766059+00:00,Ankara,21.78,63,scattered clouds
2026-07-03T03:38:09.766059+00:00,İzmir,22.4,70,clear sky
2026-07-03T03:38:09.766059+00:00,Berlin,14.33,76,few clouds
2026-07-03T03:38:09.766059+00:00,London,11.85,74,scattered clouds
2026-07-03T07:25:14.067431+00:00,Istanbul,26.86,63,clear sky
2026-07-03T07:25:14.067431+00:00,Ankara,26.23,41,few clouds
2026-07-03T07:25:14.067431+00:00,İzmir,29.62,38,clear sky
2026-07-03T07:25:14.067431+00:00,Berlin,17.09,69,clear sky
2026-07-03T07:25:14.067431+00:00,London,17.34,64,overcast clouds
2026-07-03T10:40:35.266301+00:00,Istanbul,27.42,69,scattered clouds
2026-07-03T10:40:35.266301+00:00,Ankara,29.56,28,scattered clouds
2026-07-03T10:40:35.266301+00:00,İzmir,33.51,23,clear sky
2026-07-03T10:40:35.266301+00:00,Berlin,20.61,54,broken clouds
2026-07-03T10:40:35.266301+00:00,London,21.85,50,broken clouds
2026-07-03T12:58:26.828028+00:00,Istanbul,28.45,67,clear sky
2026-07-03T12:58:26.828028+00:00,Ankara,30.67,25,clear sky
2026-07-03T12:58:26.828028+00:00,İzmir,35.73,22,clear sky
2026-07-03T12:58:26.828028+00:00,Berlin,22.07,47,scattered clouds
2026-07-03T12:58:26.828028+00:00,London,24.94,43,overcast clouds
2026-07-03T15:18:33.815982+00:00,Istanbul,28.63,68,clear sky
2026-07-03T15:18:33.815982+00:00,Ankara,30.67,25,clear sky
2026-07-03T15:18:33.815982+00:00,İzmir,34.62,29,clear sky
2026-07-03T15:18:33.815982+00:00,Berlin,22.5,46,scattered clouds
2026-07-03T15:18:33.815982+00:00,London,26.18,38,overcast clouds
2026-07-03T17:36:38.486672+00:00,Istanbul,27.42,67,few clouds
2026-07-03T17:36:38.486672+00:00,Ankara,27.89,33,clear sky
2026-07-03T17:36:38.486672+00:00,İzmir,32.4,46,clear sky
2026-07-03T17:36:38.486672+00:00,Berlin,20.56,53,broken clouds
2026-07-03T17:36:38.486672+00:00,London,27.03,34,broken clouds
2026-07-03T19:35:07.609085+00:00,Istanbul,27.42,65,clear sky
2026-07-03T19:35:07.609085+00:00,Ankara,24.56,45,clear sky
2026-07-03T19:35:07.609085+00:00,İzmir,29.62,54,clear sky
2026-07-03T19:35:07.609085+00:00,Berlin,17.93,57,scattered clouds
2026-07-03T19:35:07.609085+00:00,London,24.66,43,few clouds
2026-07-03T21:11:55.193576+00:00,Istanbul,27.28,62,clear sky
2026-07-03T21:11:55.193576+00:00,Ankara,22.89,48,clear sky
2026-07-03T21:11:55.193576+00:00,İzmir,28.51,62,clear sky
2026-07-03T21:11:55.193576+00:00,Berlin,16.78,65,few clouds
2026-07-03T21:11:55.193576+00:00,London,22.19,55,clear sky
2026-07-03T23:08:21.478719+00:00,Istanbul,27.36,70,clear sky
2026-07-03T23:08:21.478719+00:00,Ankara,20.67,54,clear sky
2026-07-03T23:08:21.478719+00:00,İzmir,23.97,70,clear sky
2026-07-03T23:08:21.478719+00:00,Berlin,15.03,65,few clouds
2026-07-03T23:08:21.478719+00:00,London,20.15,60,clear sky
2026-07-04T03:31:09.692019+00:00,Istanbul,24.53,100,few clouds
2026-07-04T03:31:09.692019+00:00,Ankara,19.56,59,clear sky
2026-07-04T03:31:09.692019+00:00,İzmir,25.73,73,clear sky
2026-07-04T03:31:09.692019+00:00,Berlin,12.76,79,scattered clouds
2026-07-04T03:31:09.692019+00:00,London,15.95,80,clear sky
2026-07-04T06:50:04.094366+00:00,Istanbul,26.86,67,broken clouds
2026-07-04T06:50:04.094366+00:00,Ankara,23.45,47,clear sky
2026-07-04T06:50:04.094366+00:00,İzmir,30.73,35,clear sky
2026-07-04T06:50:04.094366+00:00,Berlin,15.57,76,overcast clouds
2026-07-04T06:50:04.094366+00:00,London,17.03,81,clear sky
2026-07-04T09:25:24.103709+00:00,Istanbul,26.77,75,broken clouds
2026-07-04T09:25:24.103709+00:00,Ankara,26.23,36,clear sky
2026-07-04T09:25:24.103709+00:00,İzmir,32.4,29,clear sky
2026-07-04T09:25:24.103709+00:00,Berlin,18.22,64,overcast clouds
2026-07-04T09:25:24.103709+00:00,London,21.83,67,clear sky
2026-07-04T11:36:04.521936+00:00,Istanbul,26.92,82,broken clouds
2026-07-04T11:36:04.521936+00:00,Ankara,28.45,32,clear sky
2026-07-04T11:36:04.521936+00:00,İzmir,34.62,29,few clouds
2026-07-04T11:36:04.521936+00:00,Berlin,19.4,60,overcast clouds
2026-07-04T11:36:04.521936+00:00,London,23.53,63,clear sky
2026-07-04T13:41:40.029828+00:00,Istanbul,26.82,82,broken clouds
2026-07-04T13:41:40.029828+00:00,Ankara,28.45,32,broken clouds
2026-07-04T13:41:40.029828+00:00,İzmir,33.51,36,scattered clouds
2026-07-04T13:41:40.029828+00:00,Berlin,19.11,65,light rain
2026-07-04T13:41:40.029828+00:00,London,26.77,52,clear sky
2026-07-04T15:08:55.353076+00:00,Istanbul,26.5,80,broken clouds
2026-07-04T15:08:55.353076+00:00,Ankara,27.89,33,broken clouds
2026-07-04T15:08:55.353076+00:00,İzmir,33.51,48,scattered clouds
2026-07-04T15:08:55.353076+00:00,Berlin,17.32,80,light rain
2026-07-04T15:08:55.353076+00:00,London,28.01,47,clear sky
2026-07-04T17:10:37.219718+00:00,Istanbul,24.08,100,broken clouds
2026-07-04T17:10:37.219718+00:00,Ankara,24.56,44,broken clouds
2026-07-04T17:10:37.219718+00:00,İzmir,31.29,60,scattered clouds
2026-07-04T17:10:37.219718+00:00,Berlin,15.35,87,moderate rain
2026-07-04T17:10:37.219718+00:00,London,28.05,47,few clouds
2026-07-04T19:19:59.100344+00:00,Istanbul,23.36,100,clear sky
2026-07-04T19:19:59.100344+00:00,Ankara,22.34,53,scattered clouds
2026-07-04T19:19:59.100344+00:00,İzmir,28.51,67,clear sky
2026-07-04T19:19:59.100344+00:00,Berlin,14.44,94,moderate rain
2026-07-04T19:19:59.100344+00:00,London,25.5,56,few clouds
2026-07-04T21:01:57.257022+00:00,Istanbul,22.21,100,clear sky
2026-07-04T21:01:57.257022+00:00,Ankara,21.23,54,scattered clouds
2026-07-04T21:01:57.257022+00:00,İzmir,27.4,68,clear sky
2026-07-04T21:01:57.257022+00:00,Berlin,14.34,94,overcast clouds
2026-07-04T21:01:57.257022+00:00,London,23.19,64,broken clouds
2026-07-04T23:00:52.642384+00:00,Istanbul,21.83,100,clear sky
2026-07-04T23:00:52.642384+00:00,Ankara,19.56,63,scattered clouds
2026-07-04T23:00:52.642384+00:00,İzmir,21.41,74,clear sky
2026-07-04T23:00:52.642384+00:00,Berlin,15.25,96,overcast clouds
2026-07-04T23:00:52.642384+00:00,London,20.5,72,broken clouds
2026-07-05T03:49:06.033589+00:00,Istanbul,21.62,100,clear sky
2026-07-05T03:49:06.033589+00:00,Ankara,19.0,67,clear sky
2026-07-05T03:49:06.033589+00:00,İzmir,23.0,75,clear sky
2026-07-05T03:49:06.033589+00:00,Berlin,15.67,95,overcast clouds
2026-07-05T03:49:06.033589+00:00,London,16.75,84,scattered clouds
2026-07-05T07:30:48.108395+00:00,Istanbul,27.28,77,clear sky
